date,description,amount,type,true_category,month,day_of_week,is_weekend,amount_category
2023-01-01,shopping expense,-386.57248714298237,DEBIT,Shopping,1,6,1,large
2023-01-02,salary from company c,6102.997296579336,CREDIT,Salary,1,0,0,very_large
2023-01-03,shopping expense,-312.9477051731181,DEBIT,Shopping,1,1,0,large
2023-01-04,salary from company c,5706.147115494383,CREDIT,Salary,1,2,0,very_large
2023-01-05,transportation expense,-335.20222431819053,DEBIT,Transportation,1,3,0,large
2023-01-06,salary from company b,4867.14723393606,CREDIT,Salary,1,4,0,very_large
2023-01-07,entertainment expense,-251.99284636389095,DEBIT,Entertainment,1,5,1,large
2023-01-08,shopping expense,-195.35609008694576,DEBIT,Shopping,1,6,1,medium
2023-01-09,entertainment expense,-461.7971788209962,DEBIT,Entertainment,1,0,0,large
2023-01-10,utilities expense,-126.92112423245723,DEBIT,Utilities,1,1,0,medium
2023-01-11,purchase at whole foods,-426.57101362054203,DEBIT,Groceries,1,2,0,large
2023-01-12,other expense,-443.73529914845597,DEBIT,Other,1,3,0,large
2023-01-13,other expense,-190.369719904204,DEBIT,Other,1,4,0,medium
2023-01-14,other expense,-335.8718442316633,DEBIT,Other,1,5,1,large
2023-01-15,shopping expense,-253.9773386120086,DEBIT,Shopping,1,6,1,large
2023-01-16,salary from company c,3747.84004797711,CREDIT,Salary,1,0,0,very_large
2023-01-17,salary from company b,3683.246312291906,CREDIT,Salary,1,1,0,very_large
2023-01-18,transportation expense,-240.69923779694292,DEBIT,Transportation,1,2,0,large
2023-01-19,entertainment expense,-42.25708148447323,DEBIT,Entertainment,1,3,0,small
2023-01-20,monthly rent payment,-42.482969323199825,DEBIT,Rent,1,4,0,small
2023-01-21,salary from company b,5985.710033548154,CREDIT,Salary,1,5,1,very_large
2023-01-22,salary from company c,7497.948324577811,CREDIT,Salary,1,6,1,very_large
2023-01-23,return from mutual funds,282.97209857680605,CREDIT,Investment,1,0,0,large
2023-01-24,purchase at whole foods,-352.8115016707734,DEBIT,Groceries,1,1,0,large
2023-01-25,salary from company a,6438.000281651772,CREDIT,Salary,1,2,0,very_large
2023-01-26,utilities expense,-127.03784065685869,DEBIT,Utilities,1,3,0,medium
2023-01-27,transportation expense,-84.94717560292617,DEBIT,Transportation,1,4,0,medium
2023-01-28,monthly rent payment,-313.3464614088468,DEBIT,Rent,1,5,1,large
2023-01-29,return from stocks,411.5285192413666,CREDIT,Investment,1,6,1,large
2023-01-30,transportation expense,-357.80484737738595,DEBIT,Transportation,1,0,0,large
2023-01-31,utilities expense,-256.2788514525912,DEBIT,Utilities,1,1,0,large
2023-02-01,transportation expense,-425.18405438871525,DEBIT,Transportation,2,2,0,large
2023-02-02,dining expense,-243.81732947734116,DEBIT,Dining,2,3,0,large
2023-02-03,salary from company a,3404.729095511592,CREDIT,Salary,2,4,0,very_large
2023-02-04,transportation expense,-139.1910603126281,DEBIT,Transportation,2,5,1,medium
2023-02-05,shopping expense,-274.5972120449804,DEBIT,Shopping,2,6,1,large
2023-02-06,dining expense,-321.1201753927185,DEBIT,Dining,2,0,0,large
2023-02-07,entertainment expense,-352.8213013404767,DEBIT,Entertainment,2,1,0,large
2023-02-08,monthly rent payment,-11.63610853850529,DEBIT,Rent,2,2,0,small
2023-02-09,shopping expense,-311.67127731797405,DEBIT,Shopping,2,3,0,large
2023-02-10,investment in stocks,-337.055286311669,DEBIT,Investment,2,4,0,large
2023-02-11,salary from company b,6252.268778221055,CREDIT,Salary,2,5,1,very_large
2023-02-12,purchase at trader joe,-420.02893708500255,DEBIT,Groceries,2,6,1,large
2023-02-13,shopping expense,-137.25475470639634,DEBIT,Shopping,2,0,0,medium
2023-02-14,monthly rent payment,-227.46706819079563,DEBIT,Rent,2,1,0,large
2023-02-15,shopping expense,-133.24998161496524,DEBIT,Shopping,2,2,0,medium
2023-02-16,monthly rent payment,-193.82315115134153,DEBIT,Rent,2,3,0,medium
2023-02-17,monthly rent payment,-60.500132601353414,DEBIT,Rent,2,4,0,medium
2023-02-18,utilities expense,-364.2109568751836,DEBIT,Utilities,2,5,1,large
2023-02-19,salary from company b,2915.216032634753,CREDIT,Salary,2,6,1,very_large
2023-02-20,entertainment expense,-235.32496915387173,DEBIT,Entertainment,2,0,0,large
2023-02-21,other expense,-261.3864512361571,DEBIT,Other,2,1,0,large
2023-02-22,entertainment expense,-96.02980891726955,DEBIT,Entertainment,2,2,0,medium
2023-02-23,other expense,-368.6458277909631,DEBIT,Other,2,3,0,large
2023-02-24,other expense,-166.6468124355669,DEBIT,Other,2,4,0,medium
2023-02-25,return from stocks,381.2818303546641,CREDIT,Investment,2,5,1,large
2023-02-26,purchase at whole foods,-440.738200144208,DEBIT,Groceries,2,6,1,large
2023-02-27,entertainment expense,-312.58820080097263,DEBIT,Entertainment,2,0,0,large
2023-02-28,utilities expense,-476.2014506292852,DEBIT,Utilities,2,1,0,large
2023-03-01,dining expense,-48.362345777801536,DEBIT,Dining,3,2,0,small
2023-03-02,investment in stocks,-458.2002192697661,DEBIT,Investment,3,3,0,large
2023-03-03,investment in bonds,-380.02166790423655,DEBIT,Investment,3,4,0,large
2023-03-04,return from mutual funds,264.553512769794,CREDIT,Investment,3,5,1,large
2023-03-05,utilities expense,-401.07192722394655,DEBIT,Utilities,3,6,1,large
2023-03-06,shopping expense,-23.008799209877353,DEBIT,Shopping,3,0,0,small
2023-03-07,transportation expense,-286.75295415564875,DEBIT,Transportation,3,1,0,large
2023-03-08,monthly rent payment,-299.6131871413077,DEBIT,Rent,3,2,0,large
2023-03-09,transportation expense,-138.9701745322093,DEBIT,Transportation,3,3,0,medium
2023-03-10,utilities expense,-228.03305966087987,DEBIT,Utilities,3,4,0,large
2023-03-11,utilities expense,-72.8381044465651,DEBIT,Utilities,3,5,1,medium
2023-03-12,purchase at kroger,-394.45924034677057,DEBIT,Groceries,3,6,1,large
2023-03-13,return from mutual funds,621.4233859574343,CREDIT,Investment,3,0,0,large
2023-03-14,monthly rent payment,-452.6974950812512,DEBIT,Rent,3,1,0,large
2023-03-15,dining expense,-86.7250032581934,DEBIT,Dining,3,2,0,medium
2023-03-16,shopping expense,-433.50922712385363,DEBIT,Shopping,3,3,0,large
2023-03-17,monthly rent payment,-473.91233201687913,DEBIT,Rent,3,4,0,large
2023-03-18,transportation expense,-93.2970433934825,DEBIT,Transportation,3,5,1,medium
2023-03-19,monthly rent payment,-210.04481248739918,DEBIT,Rent,3,6,1,large
2023-03-20,other expense,-410.50065893022924,DEBIT,Other,3,0,0,large
2023-03-21,dining expense,-448.3795561603412,DEBIT,Dining,3,1,0,large
2023-03-22,dining expense,-35.68085533230219,DEBIT,Dining,3,2,0,small
2023-03-23,dining expense,-21.5430253747505,DEBIT,Dining,3,3,0,small
2023-03-24,salary from company b,2106.0868815505005,CREDIT,Salary,3,4,0,very_large
2023-03-25,entertainment expense,-271.2646314426954,DEBIT,Entertainment,3,5,1,large
2023-03-26,utilities expense,-210.61200570904265,DEBIT,Utilities,3,6,1,large
2023-03-27,entertainment expense,-157.86711530484683,DEBIT,Entertainment,3,0,0,medium
2023-03-28,monthly rent payment,-25.137454628721528,DEBIT,Rent,3,1,0,small
2023-03-29,transportation expense,-151.17071655346956,DEBIT,Transportation,3,2,0,medium
2023-03-30,utilities expense,-152.27123841131865,DEBIT,Utilities,3,3,0,medium
2023-03-31,transportation expense,-229.53312396242515,DEBIT,Transportation,3,4,0,large
2023-04-01,investment in stocks,-320.0115375783453,DEBIT,Investment,4,5,1,large
2023-04-02,dining expense,-53.0456944368154,DEBIT,Dining,4,6,1,medium
2023-04-03,purchase at trader joe,-478.0953054059663,DEBIT,Groceries,4,0,0,large
2023-04-04,other expense,-304.2361137930837,DEBIT,Other,4,1,0,large
2023-04-05,entertainment expense,-434.438238554709,DEBIT,Entertainment,4,2,0,large
2023-04-06,dining expense,-83.9416220082711,DEBIT,Dining,4,3,0,medium
2023-04-07,utilities expense,-474.0896135071342,DEBIT,Utilities,4,4,0,large
2023-04-08,other expense,-44.67087479728168,DEBIT,Other,4,5,1,small
2023-04-09,transportation expense,-494.0211894387621,DEBIT,Transportation,4,6,1,large
2023-04-10,utilities expense,-234.09915513480306,DEBIT,Utilities,4,0,0,large
2023-04-11,utilities expense,-31.506911084541343,DEBIT,Utilities,4,1,0,small
2023-04-12,salary from company b,4852.60434952493,CREDIT,Salary,4,2,0,very_large
2023-04-13,salary from company c,3215.9491594948295,CREDIT,Salary,4,3,0,very_large
2023-04-14,salary from company b,5744.474044814917,CREDIT,Salary,4,4,0,very_large
2023-04-15,salary from company c,4047.955845651225,CREDIT,Salary,4,5,1,very_large
2023-04-16,return from stocks,243.36398949169654,CREDIT,Investment,4,6,1,large
2023-04-17,dining expense,-297.8801991301769,DEBIT,Dining,4,0,0,large
2023-04-18,monthly rent payment,-358.30718894954697,DEBIT,Rent,4,1,0,large
2023-04-19,monthly rent payment,-300.37080327734816,DEBIT,Rent,4,2,0,large
