date,description,amount,type,true_category
2023-01-01,Transportation expense,-350.86067994692814,DEBIT,Transportation
2023-01-02,Shopping expense,-360.7777096690532,DEBIT,Shopping
2023-01-03,Dining expense,-428.4246888319197,DEBIT,Dining
2023-01-04,Shopping expense,-186.22990358689168,DEBIT,Shopping
2023-01-05,Salary from Company B,5607.648896919732,CREDIT,Salary
2023-01-06,Dining expense,-363.65096013659553,DEBIT,Dining
2023-01-07,Monthly Rent Payment,-334.6992710269956,DEBIT,Rent
2023-01-08,Entertainment expense,-419.5001002145289,DEBIT,Entertainment
2023-01-09,Entertainment expense,-20.20887789092134,DEBIT,Entertainment
2023-01-10,Monthly Rent Payment,-436.9897809087093,DEBIT,Rent
2023-01-11,Return from Mutual Funds,104.4418075881228,CREDIT,Investment
2023-01-12,Transportation expense,-341.13265225517574,DEBIT,Transportation
2023-01-13,Salary from Company C,2710.9759048712726,CREDIT,Salary
2023-01-14,Salary from Company B,2715.0095956495943,CREDIT,Salary
2023-01-15,Investment in Bonds,-946.845193453147,DEBIT,Investment
2023-01-16,Other expense,-60.2677709684973,DEBIT,Other
2023-01-17,Purchase at Kroger,-106.57286878115717,DEBIT,Groceries
2023-01-18,Entertainment expense,-388.0785533690748,DEBIT,Entertainment
2023-01-19,Purchase at Walmart,-260.5958677610836,DEBIT,Groceries
2023-01-20,Other expense,-166.79503501396397,DEBIT,Other
2023-01-21,Purchase at Kroger,-315.359099394725,DEBIT,Groceries
2023-01-22,Utilities expense,-442.50156982580665,DEBIT,Utilities
2023-01-23,Shopping expense,-106.0596881889608,DEBIT,Shopping
2023-01-24,Transportation expense,-311.81684135723015,DEBIT,Transportation
2023-01-25,Shopping expense,-374.1692977716099,DEBIT,Shopping
2023-01-26,Utilities expense,-246.92214670524274,DEBIT,Utilities
2023-01-27,Entertainment expense,-464.32948254549865,DEBIT,Entertainment
2023-01-28,Investment in Mutual Funds,-575.765665303589,DEBIT,Investment
2023-01-29,Purchase at Kroger,-414.9046343312079,DEBIT,Groceries
2023-01-30,Entertainment expense,-449.61983218507424,DEBIT,Entertainment
2023-01-31,Entertainment expense,-329.86319020823095,DEBIT,Entertainment
2023-02-01,Salary from Company C,7799.9708317544455,CREDIT,Salary
2023-02-02,Other expense,-490.00499839587565,DEBIT,Other
2023-02-03,Entertainment expense,-132.62905228612507,DEBIT,Entertainment
2023-02-04,Purchase at Whole Foods,-194.39243569929516,DEBIT,Groceries
2023-02-05,Transportation expense,-122.46646896194875,DEBIT,Transportation
2023-02-06,Transportation expense,-25.506885295807855,DEBIT,Transportation
2023-02-07,Utilities expense,-370.19921135090533,DEBIT,Utilities
2023-02-08,Utilities expense,-419.77953111378076,DEBIT,Utilities
2023-02-09,Transportation expense,-464.2602729360264,DEBIT,Transportation
2023-02-10,Shopping expense,-109.51886198348444,DEBIT,Shopping
2023-02-11,Purchase at Walmart,-356.5233909519826,DEBIT,Groceries
2023-02-12,Salary from Company A,6485.824769236932,CREDIT,Salary
2023-02-13,Entertainment expense,-65.99335761966267,DEBIT,Entertainment
2023-02-14,Purchase at Whole Foods,-306.71748846122034,DEBIT,Groceries
2023-02-15,Transportation expense,-73.65617264495404,DEBIT,Transportation
2023-02-16,Other expense,-122.86630917386623,DEBIT,Other
2023-02-17,Monthly Rent Payment,-423.523200034666,DEBIT,Rent
2023-02-18,Purchase at Walmart,-71.38339973000396,DEBIT,Groceries
2023-02-19,Shopping expense,-228.49746103782383,DEBIT,Shopping
2023-02-20,Purchase at Trader Joe,-415.96934582263754,DEBIT,Groceries
2023-02-21,Investment in Mutual Funds,-121.90850158330343,DEBIT,Investment
2023-02-22,Transportation expense,-440.0974328558499,DEBIT,Transportation
2023-02-23,Purchase at Kroger,-167.4303505251936,DEBIT,Groceries
2023-02-24,Salary from Company A,5403.009924805323,CREDIT,Salary
2023-02-25,Return from Mutual Funds,298.7687654598448,CREDIT,Investment
2023-02-26,Entertainment expense,-308.06714492225586,DEBIT,Entertainment
2023-02-27,Shopping expense,-135.894693967884,DEBIT,Shopping
2023-02-28,Other expense,-169.96344680175386,DEBIT,Other
2023-03-01,Salary from Company A,4267.850151786846,CREDIT,Salary
2023-03-02,Utilities expense,-381.2786573455169,DEBIT,Utilities
2023-03-03,Dining expense,-257.4185958951498,DEBIT,Dining
2023-03-04,Other expense,-451.88469133284065,DEBIT,Other
2023-03-05,Utilities expense,-433.1196593651649,DEBIT,Utilities
2023-03-06,Entertainment expense,-360.80844045346265,DEBIT,Entertainment
2023-03-07,Other expense,-494.8804874154627,DEBIT,Other
2023-03-08,Utilities expense,-130.03153919905122,DEBIT,Utilities
2023-03-09,Entertainment expense,-33.31544594263403,DEBIT,Entertainment
2023-03-10,Purchase at Trader Joe,-180.84626132091688,DEBIT,Groceries
2023-03-11,Entertainment expense,-429.72587105520245,DEBIT,Entertainment
2023-03-12,Utilities expense,-30.15494579806723,DEBIT,Utilities
2023-03-13,Utilities expense,-42.746874377719685,DEBIT,Utilities
2023-03-14,Other expense,-143.6539350846,DEBIT,Other
2023-03-15,Monthly Rent Payment,-398.03883821820085,DEBIT,Rent
2023-03-16,Purchase at Walmart,-332.2791422376818,DEBIT,Groceries
2023-03-17,Salary from Company A,7486.9172335870535,CREDIT,Salary
2023-03-18,Monthly Rent Payment,-46.05360233088181,DEBIT,Rent
2023-03-19,Dining expense,-84.70607379838164,DEBIT,Dining
2023-03-20,Purchase at Trader Joe,-384.6586481194876,DEBIT,Groceries
2023-03-21,Monthly Rent Payment,-192.5001578519341,DEBIT,Rent
2023-03-22,Dining expense,-295.01432382217433,DEBIT,Dining
2023-03-23,Other expense,-63.26657166736313,DEBIT,Other
